NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
131,AAC-1,ANTARAYAMAH,antarāyāmaḥ,अन्तरायामः,emprosthotonous ,"the disorder is characterized by kaphavamanam/kaphōdvamam [vomiting of phlegm], viṣṭabdhākṣaḥ [starring gaze], stabdhahanūḥ/hanugrahaḥ [lock jaw/stiff jaw], bhagnapārśvaḥ [breaking type of pain ribs/flanks], dhanuriva ābhyantaranamanam [ventral (internal) bending of body as a bow], antarāyamyatē grīvā/jatruḥ āyamyatē [internal bending of neck], manyāstambhaḥ [torticollis/stiffness of neck], dantānāṁ daṁśanam/daśanānāṁ daśanam [gnashes-grind one's teeth], lālāsrāvaḥ [salivation], pr̥ṣṭhāyāmaḥ [stretching of back], śirōgrahaḥ [stiffness of head], jr̥mbhā [yawning], vadanasaṅgaḥ [stiffness of mouth], nētrastambhaḥ [lack of eye movements/fixed eyes], vākyagrahaḥ [difficulty in speaking/aphasia], pr̥ṣṭhagrahaḥ [stiffness of back] ",
132,AAC-2,APATANTRAKAH,apatantrakaḥ,अपतन्त्रकः,convulsive fit ,"the disorder is characterized by dhanuriva namanam/dhanurvadgātranamanam/aṅganamanam [body bends like a bow], gātrākṣēpaḥ/aṅgākṣēpaḥ [convulsive movements of body], mōhaḥ [confusion/delirium], kucchrāducchvasanam/ucchvāsanirōdhaḥ/nirucchvāsaḥ [difficulty in expiration/laborious breathing], stabdhākṣaḥ [fixed/staring eyes], nimīlakaḥ/nimīlitākṣiḥ [shutting the eyes], kapōta iva kūjanam [cooing like a pigeon], niḥsaṁjñaḥ/naṣṭacētaḥ [frequent fainting/unconsciousness], śaṅkhapīḍā [pain in the temporal region of head/temples], śiraḥpīḍā [pain in the head/headache], hr̥dayapīḍā [pain in the pericordial region/angina pectoris], niścēṣṭaḥ [loss of movement], srastadr̥ṣṭiḥ [sunken eyes/downward gaze] ",
133,AAC-2.1,ASADHYA-APATANTRAKAH,asādhya-apatantrakaḥ,असाध्य-अपतन्त्रकः,intractable convulsive fit ,"the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma] ",
134,AAC-3,APATANAKAH,apatānakaḥ,अपतानकः,orthotonos ,"the disorder is characterized by dr̥ṣṭistambhaḥ [fixed eyes/gaze], saṁjñāhāniḥ [loss of conciousness], kaṇṭhēna kūjati [cooing sound from throat], vr̥tē punarmōhaṁ yāti [faints again and again], hr̥di muktē svāsthyaṁ yāti [regains conciousness after a while due to the recovery], saṁstarēṣu prētānāṁ jalamapi diśati [offers water to the ancestral souls/ritual arrangements for sacrifice for spirits of dead persons] ",
135,AAC-4,ARDITAH,arditaḥ,अर्दितः,facial paralysis ,"the disorder is characterized by bāhusaṅkōcaḥ [contraction of arms], pādasaṅkōcaḥ [contraction of legs], jānusaṅkōcaḥ [contraction of knees], jihma-ardhamukham [lateral deviation of mouth], nāsāvakratā [deviation of nose], bhrūvakratā [deviation of eyebrow], lalāṭavakratā [deviation of forehead], akṣivakratā/īkṣitavakratā [slight/deviation of eye], hanuvakratā [deviation of jaw], āsyē bhōjanaṁ vakraṁ vrajati [unable to put food bolus properly in mouth/difficulty in eating], vakranāsikā [deviation of nose], kathayataḥ nētrastabdhatā [ocassional inactivity of eyes], kṣavathunigrahaḥ/kṣavagrahaḥ [supression of sneezing/holding sneezing], dīnā vāk/vāksaṅgaḥ [speech affliction /dysphasia], jihmā vāk [distorted/sluggish speech], dantacālanam [loosening of teeth], śravaṇabādhā [hearing impairment], svarabhēdaḥ/svarabhraṁśaḥ [hoarseness of voice/loss of voice], pādarujā [leg pain], hastarujā [pain in hands], akṣirujā [pain in eyes], jaṅghārujā [pain in calf muscles], ūrurujā [pain in thighs], śaṅgharujā [pain in temporal part of head], śravaṇarujā [pain in ear/otalgia], gaṇḍarujā [pain in side of face including temple], vaktrārthavakratā [distorted speech], uktavakratā [ambiguity in spoken words], hasitavakratā [deviation of mouth on laughing], mūrdhākampaḥ [shaking of head], stabdhanētratā [staring look], śrutihāniḥ [hearing impairment/loss], gandhājñānam [impairment in sense of smelling], smr̥timōhaḥ [memory impairment], suptasya trāsaḥ [fear on sleep/fearful look on sleep], niṣṭhīvaḥ pārśvatō yāyāt [spitting on laterally/salivation from angle of mouth], ēkākṣinimīlanam [shutting of one eye/closed one eye], jatrūrdhvatīvrarujā [sharp pain in body above collar bone/severe pain in head and neck region], śarīrārdhē adharē vā bādhanam [afflicting half of the body (vertical/saggital or transverse] ",
136,AAC-4.1,ARDITA-PURVARUPAM,ardita-pūrvarupam,अर्दित-पूर्वरुपम्,prodromes of facial paralysis ,"the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu] ",
137,AAC-4.2,ASADHYA-ARDITAH,asādhya-arditaḥ,असाध्य-अर्दितः,irremediable facial palsy ,"the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye] ",
138,AAC-5,ASTHIPRABEDAH,asthiprabhēdaḥ,अस्थिप्रभेदः,osteodynia/ostealgia , ,
139,AAC-6,ASTHISOSHAH,asthiśōṣaḥ,अस्थिशोषः,osteopenia/osteoporosis , ,
140,AAC-7,VATASHTHILA,vātāṣṭhīlā,वाताष्ठीला,prostatic enlargement ,"the disorder is characterized by vastyādhmānaḥ [distention of urinary bladder], gudādhmānaḥ [distension in the rectum], mūtramārgarōdhaḥ [obstruction in passage of urine], viṇmārgarōdhaḥ [obstruction in passage of feces], tīvrārtiḥ [severe pain], bahirmārgāvarōdhaḥ [obstruction to passage of flatus, urine and fecal matter], aṣṭhīlāvadghanaṁ granthiḥ [stony hard globular swelling/gland below navel], urdhva-āyata-unnatagranthiḥ [upwardly extended prominent gland in navel] ",
141,AAC-8,AVABAHUKAH,avabāhukaḥ,अवबाहुकः,frozen shoulder ,"the disorder is characterized by aṁsabandhanaśōṣaḥ [atrophy of the structure binding the shoulder joints/wasting of shoulder region], sirākuñcanam [contraction of ligaments], bāhupraspandanaharaṇam [inhibition of movements of upperlimb] ",
142,AAC-9,URUSTAMBAH/ADHYAVATAH,ūrustambhaḥ/āḍhyavātaḥ,ऊरुस्तम्भः/आढ्यवातः,stiff thigh ,"the disorder is characterized by atijaṅghāglāniḥ [severe tiredness in calf muscles], ati-ūruglāniḥ [severe tiredness of thighs], śaśvadādāhaḥ [slight burning], śaśvadvēdanā [slight pain], nyastaṁ padaṁ vyathatē [pain on stepping], śītasparśaṁ na vētti [inability to perceive cold touch], saṁsthānē anīśvaraḥ [unable to stand], pīḍanē anīśvaraḥ [unable to tolerate pressure], gatyāṁ anīśvaraḥ [unable/difficulty in walking], cālanē anīśvaraḥ [inability to move], anyanēyau hi saṁbhagnau ūru manyatē [feels as if thighs are broken], anyanēyau hi saṁbhagnau pādau manyatē [feels as if legs are broken], stabdha-ūru [stiffnes of thigh], śīta-ūru [cold on touch/feel of thigh], acētana-ūru [loss of sensation in thigh], parakīyāviva ūru [thigh feels as if it belongs to someone else], guruḥ [heaviness of thigh], atibhr̥śavyadhā [severe frequent pain], dhyānaḥ [insensibility/meditatitve appearance], aṅgamardaḥ [generalised bodyache], staimityaḥ [a sensation of being covered with wet clothes], tandrā [drowsiness/lassitude], chardiḥ [vomiting], aruci [tastelessness], jvaraḥ [fever], pādasadanam [feeling of weakness of feet/legs], kr̥cchrōddharaṇaḥ [difficulty in raising/lifting legs], suptiḥ [numbness] ",
143,AAC-9.1,URUSTAMBA-PURVARUPAM,ūrustambha-pūrvarūpam,ऊरुस्तम्भ-पूर्वरूपम्,prodromes of stiff-thigh ,"the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs] ",
144,AAC-9.2,ASADHYA-URUSTAMBAH,asādhya-ūrustambhaḥ,असाध्य-ऊरुस्तम्भः,intractable stiff-thigh ,"the disorder is characterized by dāhaḥ [burning sensation], artiḥ [pain], tōdārtaḥ [pricking pain], vēpanaḥ [shivering/tremors] ",
145,AAC-10,AMSASOSHAH,aṁsaśōṣaḥ,अंसशोषः,shoulder muscle atrophy ,the disorder is characterized by aṁsabandhanaśōṣaḥ [atrophy of the structure binding the shoulder joints/wasting of shoulder region] ,
146,AAC-11,AKSHEPAKAH,ākṣēpakaḥ,आक्षेपकः,clonic convulsion ,"the disorder is characterized by gātrāṇi muhuḥ ākṣipati [sudden movements of limbs], pāṇi śōṣaḥ [wasting of hands], pāda śōṣaḥ [wasting of feet], sirā śōṣaḥ [wasting of blood vessels], snāyu śōṣaḥ [wasting of muscles], kaṇḍarā śōṣaḥ [wasting of tendons] ",
147,AAC-12,ADHMANAM,ādhmānam,आध्मानम्,distension/tympanites/meteorism ,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], atyugrarujā [excessive pain], udarādhmānam [abdominal distention], vātanirōdhaḥ [obstruction of flatus] ",Note: Also Classifed under annavahasrōtōvikāraḥ[EB]
148,AAC-12.1,PRATYADHMANAH/PRATYANAHAH,pratyādhmānaḥ/pratyānāhaḥ,प्रत्याध्मानः/प्रत्यानाहः,tympanites/meteorism ,"the disorder is characterized by āmāśayōtthitādhmānam [ādhmāna originated from amaśaya], āṭōpaḥ [gurgling sound of the intestines/barborygmus], atyugrarujā [excessive pain], udarādhmānam [distention of abdomen], vātanirōdhaḥ [obstruction of flatus] ",Note: Also Classifed under annavahasrōtōvikāraḥ[EB]
567,AAC-12.2,AMAJA-ANAHAH,āmaja-ānāhaḥ,आमज-आनाहः,ānāha due to āma ,"the disorder is characterized by tr̥ṣṇā [thirst], pratiśyāyaḥ [cold, catarrh], śirōvidāhaḥ [burning sensation in the head], āmāśaya-śūlaḥ [colicky pain in epigastric region], āmāśaya-gurutvam [fullness/heavyness in epigastric region], hr̥llāsaḥ [nausea], udgāravighātanaḥ [absense of eructation], hr̥tstambhaḥ [tightness in the pericordial region] ",Note: Also Classifed under annavahasrōtōvikāraḥ[EB]
568,AAC-12.3,PURISHAJA-ANAHAH/PURISHA SULA/PAKVASAYAJANAHAH,purīṣaja-ānāhaḥ/purīṣa śūla/pakvāśayajānāhaḥ,पुरीषज-आनाहः/पुरीष शूल/पक्वाशयजानाहः,ānāha due to faeces ,"the disorder is characterized by kaṭī-stambhaḥ [stiffness of waist/lowback], pr̥ṣṭha stambhaḥ [stiffness of back], purīṣa-stambhaḥ [retention of stool/feces], mūtra-stambhaḥ [retension of urine], śūlaḥ [colicky pain in the abdomen], mūrcchā [syncope/attacks of swooning], śakr̥dvamanam [faecal vomoting], śvāsaḥ [breathlessness/difficult breathing], alasakalakṣaṇāni [other symptoms of alasaka] ",Note: Also Classifed under annavahasrōtōvikāraḥ[EB]
2983,AAC-12.4,VIBANDHA,vibandha,विबन्ध,simple constipation,,
149,AAC-13,BAHIRAYAMAH/BAHYAYAMAH/DHANUHSTAMBAH,bahirāyāmaḥ/bāhyāyāmaḥ/dhanuḥstambhaḥ,बहिरायामः/बाह्यायामः/धनुःस्तम्भः,opisthotonus ,"the disorder is characterized by pr̥ṣṭhatō nīyatē śiraḥ [backward bending of head], ura utkṣipyatē [raising up of chest part of body], manyāstambhaḥ [torticollis/stiffness of neck], grīvā avamardanam [bending of neck/neck pain?], dantadaśanam [grinding of teeth/teeth biting], jr̥̄mbhā [yawning], lālāsrāvaḥ [salivation], vāggrahaḥ [chocked voice], jātavēgō nihanti vaikalyaṁ vā prayacchati [confusion/weakness after the attack /episode], vakṣaḥ-kaṭi-ūru bhañjanam [breaking type of pain in chest-back-thigh] ",
150,AAC-13.1,ASADHYADHANUSHKAMPA,asādhyadhanuṣkaṁpa,असाध्यधनुष्कंप,irremediable opisthotonus ,"the disorder is characterized by vivarṇadantaḥ [discoloured teeth], vivarṇavadanaḥ [discoloured face], srastāṅgaḥ [flaccidity/laxity], naṣṭacētanaḥ [loss of conciousness], prasvidyam [excessive perspiration] ",
151,AAC-14,URDHVAVATAH,ūrdhvavātaḥ,ऊर्ध्ववातः,obstruction of vāta in the intestine/reverse peristalsis ,"the disorder is characterized by udgārabāhulyam [excessive belchings/eructation], ",
152,AAC-15,EKANGAVATAH,ēkāṅgavātaḥ,एकाङ्गवातः,monoplegia ,"cēṣṭānivr̥tti/akarmaṇyaḥ (kr̥tsnaśarīram/ardhakāyaḥ) [cessation of activity/inability to do movement ( whole body/half body)], rujā [pain], vākstambham [impediment of speech/dysphasia], ēka-pādasaṅkōcaḥ [contraction in one lower limb], ēka-hastasaṅkōcaḥ [contraction in one upper limb], tōdaḥ [pricking pain], śūlam [sharp/acute pain], vicētanaḥ [senseless/unconciousness] ",
153,AAC-16,KALAYAKHANJAH,kalāyakhañjaḥ,कलायखञ्जः,kesari palsy/lathyrism ,"the disorder is characterized by prakrāman vēpatē/gamanārambhē kampatē [trembles on walking], khañjanniva gacchati [walks like dragging/lameness], muktasandhiprabandhanam [loss of the controll of the joint/loose joint ligaments] ",
154,AAC-17,KROSHTUKASIRSHAH,krōṣṭukaśīrṣaḥ,क्रोष्टुकशीर्षः,knee synovitis ,"the disorder is characterized by jānumadhyē krōṣṭukaśīrṣavat sthūlaḥ śōphaḥ [big and painful swelling in the knee joint/swelling in knee which appears like jackal head], jānumadhyē mahārujaḥ [severe pain in middle of knee] ",
155,AAC-18,KHANJAH/KHANJATVAM,khañjaḥ/khañjatvam,खञ्जः/खञ्जत्वम्,lameness (unilateral) ,the disorder is characterized by ēkasakthivadhaḥ [paralyzed single thigh] ,
156,AAC-19,KHALLI,khallī,खल्ली,twisting-pain on limbs ,"the disorder is characterized by pāda-avamōṭanam [cramp in feet], jaṅghā-avamōṭanam [cramp in the calf], ūru-avamōṭanam [cramp in the thigh], karamūla-avamōṭanam [cramp in the wrist], kara-avamōṭanam [cramp in hand] ",
157,AAC-20,GRUDHRASI,gr̥dhrasī,गृध्रसी,sciatia ,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-kṣēpaḥ/sakthi-utkṣēpa [moving to and fro/stretching of thigh], sakthi-nigr̥hṇana [supression/holding down of thighs] ",
158,AAC-20.1,VATIKAGRUDHRASI,vātikagr̥dhrasī,वातिकगृध्रसी,gRudhrasI due to vāṭa ,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body] ",
159,AAC-20.2,VATAKAPAJA-GRUDHRASI,vātakaphaja-gr̥dhrasī,वातकफज-गृध्रसी,gRudhrasI due to vāta and kapha ,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], tandrā [drowsiness/lassitude], gauravam [heaviness], arōcakaḥ/bhaktadvēṣaḥ [tastelessness/aversion to food], vahnimārdavam [diminution of agni /hypofunction of digestive mechanism], mukhaprasēkaḥ [salivation] ",
160,AAC-21,JIHVASTAMBAH,jihvāstambhaḥ,जिह्वास्तम्भः,tongue paralysis ,"the disorder is characterized by annapānēṣu anīśatā [inability in intake (of food and liquids)], vākyēṣu anīśatā [unable to speak] ",
161,AAC-22,TUNI,tūnī,तूनी,bladder pain radiating towards anus and penis ,"the disorder is characterized by varcō-mūtrāśayōtthitā vēdanā adhō yāti [pain travels down from rectum and urinary bladder], upasthaṁ bhindatīva [tearing sensation in the genitals], gudaṁ bhindatīva [tearing sensation in the anus], tīvrarujā [severe pain in bladder region] ",
162,AAC-23,DANDAPATANAKAH,daṇḍāpatānakaḥ,दण्डापतानकः,orthotonos with rod like stiffness ,the disorder is characterized by daṇḍavat stambhayati dēham [whole body stiffness like a stick] ,
163,AAC-24,PAKSHAGHATA/PAKSHAVADHAH,pakṣāghāta/pakṣavadhaḥ,पक्षाघात/पक्षवधः,hemiplegia ,"the disorder is characterized by pakṣaṁ hanti [hemiplegia/hemiparesis], cēṣṭānivr̥tti/akarmaṇyaḥ (kr̥tsnaśarīram/ardhakāyaḥ) [loss of movements/unable to do movements (loss of motor function) (whole body/half body)], vākstambham/graha-vāk [impediment of speech/dysphasia], rujā [pain], ēka-pādasaṅkōcaḥ [contraction in one lower limb], ēka-hastasaṅkōcaḥ [contraction in one upper limb], tōdaḥ [pricking pain], śūlam [sharp/acute pain], vicētanaḥ [senseless/unconciousness], śaithilya [dislocation of joint/flaccidity], sparśa ajñāna [loss of tactile sensation] ",
